formula_pretty,FM/AFM,,
Mg2As,,,
SrI2,,,
HfTe3,,,
SnBi2,,,
ScI,,,
B2Se5,,,
S3N2,,,
SbI4,,,
BI3,,,
GeBr3,,,
OsS,,,
Au18Se11,,,
ScF2,,,
ScF2,,,
Mo3O8,,,
PtS,,,
Feb-04,,,
HgF2,,,
IrBr4,,,
SrC2,,,
RuSe,,,
SmC2,,,
SiN3,,,
VI4,,,
NiN2,,,
SO2,,,
PbN2,,,
Bi5B,,,
AlBi5,,,
GaBi5,,,
GeBi,,,
InBi5,,,
Si3Pt,,,
Te5Ru4,,,
B4O3,,,
ReCl4,,,
BSb5,,,
ReBr4,,,
ZrBr4,,,
P4Cl,,,
TcCl4,,,
Ge3I8,,,
NbI5,,,
CrBr4,FM,,
Y2Te3,,,
In2O3,,,
TiTe3,,,
TePt,,,
AlBr,,,
GaN3,,,
OsPb2,,,
Re2Cl7,,,
CS,,,
Os4Se5,,,
Ge3H,,,
InSb5,,,
Ge4Pd,,,
O5F2,,,
EuSn2,,,
Bi3C,,,
TlBi,,,
NbBr4,,,
Be2Cd,,,
Sb3Pb,,,
ZrI4,,,
Tl2Te3,,,
NbCl4,,,
PuBr3,,,
PtC4,,,
Tc3I8,,,
Re2Br7,,,
BAs3,,,
SnSb3,,,
PbBr4,,,
CuTe,,,
NbCl4,,,
Bi3B,,,
AuCl,,,
Tc2Br7,,,
Si4Pt,,,
SbPb,,,
Re3I8,,,
Bi3Pb,,,
PtF2,,,
EuSi2,,,
TcI4,,,
NO2,,,
PuCl3,,,
CN3,,,
Mg5Co,,,
Tc2Br5,,,
SiBi3,,,
TaTe2,,,
GaBr,,,
SnBi3,,,
InN5,,,
Ge4Pt,,,
PbCl4,,,
BSb3,,,
TeAu2,,,
GaSb5,,,
NiN2,,,
Ca2Ir,,,
GeBi3,,,
Ta3I8,,,
Cu2Se,,,
SnSb,,,
V2Te3,,,
Cu2Te,,,
NbBr4,,,
I4N,,,
Tl3Co,,,
RhBr4,,,
HfI4,,,
TcF3,,,
Nb2O5,,,
SF,,,
TaBr4,,,
NbBr5,,,
OsBr4,,,
NbI4,,,
MnF3,,,
Tl2O3,,,
AlSb5,,,
Nb2O5,,,
Te11Au18,,,
HC3,,,
Te5Os4,,,
GeN3,,,
OsI4,,,
TaCl4,,,
V3Br8,FM,,
In2Se3,,,
PC,,,
LaBe5,,,
SrGe2,,,
SiSb3,,,
