formula_pretty,FM/AFM,,
LaPb6ClO7,,,
Li2Cr4O13,,,
AgRuF7,,,
Au3F8,,,
Ag2PdCl4,,,
Al2CuCl8,,,
VZnF5,,,
CaGe2WO6,,,
MoBr2,,,
Tl3BiI6,,,
Sc6C2I11,,,
Ge3Bi2O9,,,
Fe3S4,,,
MgN8,,,
LaTe3,,,
ScAg(PSe3)2,,,
Pt(NCl)4,,,
ThTe3,,,
SnP3,,,
Sc2C,,,
WO3,,,
Pb2CO6,,,
ScCl3,,,
MnOF,,,
Bi2Pt,,,
CuSi2P3,,,
Ce(SiAu2)2,,,
CaMnSn,,,
SrMnGe,,,
LaTe2Se,,,
ScAg(PS3)2,,,
Feb-03,,,
MnNiO3,,,
Li2Fe3F8,,,
VAg(HO2)2,,,
LiCoPO4,,,
Zn(Mo3O8)2,,,
LiFe2F7,,,
ZnB2(CN)8,,,
ZnCu(GeO3)2,,,
LiCuPO4,,,
TiNb2Zn2O8,,,
CaPbI4,,,
Hg3SbAsS3,,,
Mn3V3(TeO8)2,,,
MoAs2O7,,,
CaTeO3,,,
KRbMg6O7,,,
HfFeCl6,,,
TeO3,,,
V2O5,,,
ZrHCl,,,
NaTeF5,,,
Li2Mo(PO4)2,,,
I(NO3)2,,,
Te(HO2)2,,,
Li2V3F8,,,
CeTe3,,,
V3CrO10,,,
GdBr,,,
Sn3Pd,,,
LaBr2,,,
BaNiSn3,,,
RbHgSbSe3,,,
Ag2SO3,,,
Mg(SbO2)2,,,
Ge5F12,,,
VBiO5,,,
Li2V(CO3)3,,,
MgSb3P3O13,,,
Ba2Tl2Sn3O10,,,
CaPH5O6,,,
ZnTeO3,,,
Ta3Br7,,,
BaH4O3,,,
SnO2,,,
Cr3Se2ClO8,,,
NdPb8F19,,,
BaSn4O7,,,
NaH4ClO2,,,
Li3Sn(PO3)6,,,
Cu2H2CO5,,,
Mo3Se2ClO8,,,
AlCuF5,,,
KTeF5,,,
Li2CrP4O13,,,
SbO2,,,
LiCrP4O13,,,
HfTe3Se8,,,
ZnMoF5,,,
Na2Ti2O5,,,
MnPO4,FM,,
CuHClO,,,
NiPO4,,,
CaMoAsO5,,,
KSb2F7,,,
KAs2F7,,,
Ge(PbS2)2,,,
BaY3Cl11,,,
Na2UI6,,,
BaCO3,,,
CuSeO3,,,
Rb2U3(IO5)4,,,
BiOF,,,
Mn3(SeO3)4,,,
ZnWF5,,,
LiSb(PO3)4,,,
Li2NbP4O13,,,
YBi3F15,,,
LiSn4(PO4)3,,,
ZnFe4O9,,,
RbBiF4,,,
Cu2WO4,,,
RbReCl4,,,
Sn4SI6,,,
LiVF6,,,
BiAuCl6,,,
B2S3,,,
As2WO7,,,
CrO2,FM,,
Sb3O2F5,,,
Cu2WO4,,,
Y(CuO2)3,,,
Cu3OF5,,,
As,,,
Al,,,
P,,,
Al,,,
Si,,,
In,,,
N2,,,
Ga,,,
Cl2,,,
S,,,
Bi,,,
Sn,,,
Se,,,
Pb,,,
Tl,,,
B,,,
N2,,,
Cl2,,,
Si,,,
In,,,
Sn,,,
Tl,,,
Pd,,,
N2,,,
Mg,,,
Ge,,,
As,,,
S,,,
N2,,,
P,,,
Sb,,,
Ba,,,
Sb,,,
Si,,,
As,,,
Bi,,,
Al,,,
B,,,
Si,,,
Sn,,,
Pb,,,
S,,,
Ge,,,
P,,,
In,,,
F2,,,
Pt,,,
Si,,,
F2,,,
N2,,,
Be,,,
N2,,,
Si,,,
Tl,,,
P,,,
N2,,,
Sn,,,
Fe3GeTe2,,,
Si2BN,,,
MoCl5,,,
PbSe2,,,
SeN,,,
HgO,,,
ZnAs,,,
TbAs2,,,
Al2Te3,,,
GaNi2,,,
ScSn5,,,
ZnTe,,,
Al3Os2,,,
CaBi,,,
SrBi,,,
ZnS,,,
DyAs2,,,
TbSn2,,,
Ni2B,,,
YAs2,,,
Tl2Se3,,,
TbP2,,,
CuN2,,,
In3Os2,,,
Sr2Si,,,
BaU,,,
RhC2,,,
Sr3Ge,,,
GeO,,,
BiTe,,,
TiTe3,,,
Ga3Ru2,,,
HoS3,,,
YbI3,,,
NdPb5,,,
Ga2Se3,,,
KC12,,,
YP2,,,
NaC12,,,
SnS2,,,
TiSe3,,,
AlNi2,,,
In2S3,,,
KC2,,,
Sr3Sn,,,
SrBi2,,,
TlPt2,,,
CaBi2,,,
Mg3Sn,,,
CeBe2,,,
TmBi2,,,
TmS3,,,
BaSr,,,
CaN2,,,
LiSn2,,,
ScP2,,,
CaN,,,
SiP2,,,
ZnSe,,,
BaN,,,
NdC5,,,
SnS,,,
KN3,,,
SiTe,,,
TbSi5,,,
P2Pd,,,
SmSn5,,,
BaCe,,,
Tl3Os2,,,
NaBi3,,,
RbSn2,,,
Ba3Si,,,
U2Te,,,
AsS,,,
YbF3,,,
YC5,,,
CdP,,,
BeSi2,,,
TbN2,,,
OsSe,,,
Sr2C,,,
CoBr3,,,
Ca3Si,,,
SrGe2,,,
ScAs2,,,
HoS3,,,
Ge2O,,,
AlPt2,,,
DySe3,,,
Sb2Pd,,,
In3Ru2,,,
AsSe,,,
HgP,,,
SrCa,,,
BaCa,,,
InPd2,,,
MgGe2,,,
LiAs3,,,
RhI3,,,
Mg2C,,,
AsS,,,
TlNi2,,,
Ba2Ce,,,
ScPb5,,,
BeSb2,,,
NaPb2,,,
K2I,,,
SrBe,,,
ScSi5,,,
As2Au,,,
B2Te3,,,
Tl3Fe2,,,
PaAs2,,,
Mg3Si,,,
ErAs2,,,
HgBi,,,
SiTe2,,,
OsS,,,
KCl,,,
Si3Sb,,,
NiCl2,FM,,
KI,,,
GdC2,,,
MgP2,,,
Ca3Ge,,,
SrCa,,,
UGe2,,,
SnTe,,,
BiTe,,,
HoSe3,,,
CdAs,,,
Te2Pb,,,
Te4Os3,,,
NaBr,,,
In3Fe2,,,
CaCe,,,
AsSe,,,
RbI,,,
PdF2,,,
K2Br,,,
Ce2Mg,,,
YTe3,,,
Ca3C,,,
Tl2Te3,,,
Si3P,,,
YSn5,,,
TmAs2,,,
Ca3Pb,,,
BaCa,,,
YbBr3,,,
NaBi3,,,
Rb2Cl,,,
Al2S3,,,
SbSe,,,
TeN,,,
Tl2S3,,,
SbS,,,
InPt2,,,
LiBr,,,
Sr3C,,,
RuSe,,,
NiBi2,,,
MgAs,,,
SiSe2,,,
AlPd2,,,
GaPd2,,,
InNi2,,,
DyS3,,,
PaBi2,,,
LaSe3,,,
GeTe,,,
Ru3S4,,,
KSn2,,,
MnN2,,,
Al3Fe2,,,
NiAs2,,,
ZnSb,,,
Rb2I,,,
Pb2O,,,
CdSb,,,
U2Se,,,
Be3C,,,
TbSi2,,,
BeBi2,,,
BaAs,,,
NpS3,,,
HgTe,,,
Bi2W3,,,
SO2,,,
KSb3,,,
TcN2,,,
TeN,,,
SnSe2,,,
YPb5,,,
Mo3P2,,,
PtN2,,,
Li2Br,,,
SrC2,,,
SiSe,,,
BaSb,,,
LiI,,,
Mg3Ge,,,
TeN,,,
MgP,,,
BaMg,,,
SrP2,,,
YSi5,,,
Mg3Pb,,,
PtBr2,,,
TeAs,,,
PS,,,
PtCl2,,,
Bi2Mo3,,,
LiSb3,,,
BaSr,,,
AgBi2,,,
TbBi2,,,
LaAs2,,,
LiC2,,,
LiP3,,,
K2Cl,,,
Cr3As2,,,
LaI,,,
SrP,,,
ErBi2,,,
PbS2,,,
CdBi,,,
KF,,,
PSe,,,
RbC12,,,
MgU,,,
Ca5Ce,,,
Rb2Br,,,
DyP2,,,
Al2Se3,,,
LiCl,,,
YbP2,,,
SeN,,,
MgBe,,,
PtF2,,,
Ba2Ce,,,
EuSn3,,,
Mg2Pb,,,
DyBi2,,,
EuSe,,,
NiN2,,,
ScBi2,,,
Ca2Ge,,,
Ca2Ce,,,
Na2Br,,,
TmSe3,,,
TmP2,,,
As2Pt,,,
CeBe2,,,
CdO,,,
LiBi3,,,
BaBi2,,,
LaBi2,,,
BaBi,,,
TlPd2,,,
Ca2C,,,
BeBi,,,
Ba2C,,,
TbPb5,,,
Bi2C,,,
Rb2F,,,
SrBe,,,
TeAs,,,
B3Os2,,,
KBr,,,
GeS,,,
Be3Ge,,,
BaP,,,
BPd2,,,
CaBe,,,
Ba3Ge,,,
SmSi5,,,
SiS2,,,
ScGe5,,,
SeO2,,,
BeSn2,,,
AgP2,,,
YBi2,,,
RhO2,,,
HgAs,,,
TaTe2,,,
SrCe,,,
CrH4,,,
Na2I,,,
GaPt2,,,
BaP2,,,
SrSb2,,,
Sr3Pb,,,
KSb3,,,
AsSe,,,
Be3Si,,,
NiSb2,,,
BaC2,,,
SrAs2,,,
PaN2,,,
P2C,,,
LiN3,,,
GeSe2,,,
SrMg,,,
YS3,,,
P2Pt,,,
SrN,,,
Be3Sn,,,
TeC,,,
ZnP,,,
ThRh5,,,
SiO,,,
SbTe,,,
SrSb,,,
Be3Pb,,,
CSe,,,
TbSn5,,,
CaSb,,,
BaSi2,,,
BaGe2,,,
ErP2,,,
Ba3C,,,
RbF,,,
TeP,,,
TeRu,,,
NdSi5,,,
MnAs2,,,
EuTe,,,
ScTe3,,,
CoC2,,,
Sn2O,,,
MnSb2,,,
Ba3Sn,,,
TbC2,,,
TbPb2,,,
Fe2B3,,,
YbI3,,,
NaC2,,,
RuS,,,
SnSe,,,
Sr2Ce,,,
BaBe,,,
Sr2Ce,,,
SrMg,,,
CaAs,,,
PtI2,,,
BaSb2,,,
BeSb,,,
Sr3Si,,,
Ca3Sn,,,
KBi3,,,
LiC2,,,
ScSe3,,,
NaN3,,,
Ba5Ce,,,
PbS,,,
Ga2S3,,,
Sr5Ce,,,
CaGe2,,,
Ca2Sn,,,
As2Pd,,,
Be2Ge,,,
Te2C,,,
AgN2,,,
UC2,,,
RbCl,,,
Sr2Ge,,,
YGe5,,,
USi2,,,
HgS,,,
BiTe,,,
PtS,,,
PtSe,,,
PtS,,,
PtSe,,,
